STATION         ,INS,OUTS
34 ST-PENN STA  ,171641.8,149048
GRD CNTRL-42 ST ,156236.2,137458.3
23 ST      s     ,120611.1,86982
34 ST-HERALD SQ ,116479.1,108184.5
14 ST-UNION SQ  ,105772.2,93012
FULTON ST       ,101452.4,85097.8
TIMES SQ-42 ST  ,99689.2,92261.2
42 ST-PORT AUTH ,90768.4,73997.2
86 ST           ,84331.3,72739.9
125 ST          ,76559.1,60876.4
59 ST COLUMBUS  ,76224.3,61198
CANAL ST        ,71865.2,56979.1
96 ST           ,65934.5,49772.2
CHAMBERS ST     ,65757.5,47477.9
59 ST           ,65305.6,54559.8
